Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Labels),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Text-level),Custom field (Time stamp),Custom field (Time stamp),Custom field (Total forms),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
DCF21- Verify Deposit - destination account number is invalid,BAN-214,10288,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 6:30 PM,24/Dec/22 6:43 PM,03/Jan/23 5:04 PM,,,0,Deposit,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-12,,,,"If destination account number is invalid, system displays an error",,,,,,0|i001mn:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit

",,Fail,,,,,,,,To Do
DMF20- Verify Deposit - destination account number does not associate with customer,BAN-212,10286,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 6:25 PM,24/Dec/22 6:26 PM,03/Jan/23 5:04 PM,,,0,Deposit,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-12,,,,"If destination account number does not associate with customer, System displays an error.",,,,,,0|i001m7:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit",,Fail,,,,,,,,To Do
"SM36 - Verify Edit Customer - If Customer Id does not associate with Manager, System displays an error.",BAN-211,10285,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 6:24 PM,24/Dec/22 6:26 PM,03/Jan/23 5:04 PM,,,0,EditCustomer,"If Customer Id does not associate with Manager, System displays an error.",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,Please fill all fields,,,,,,,,,BAN-7,,,,"If Customer Id does not associate with Manager, System displays an error.",,,,,,0|i001lz:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Pass,,,,,,,,To Do
DCF22- Verify Deposit - destination account number does not associate with manager,BAN-210,10284,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 6:21 PM,24/Dec/22 6:31 PM,03/Jan/23 5:04 PM,,,0,Deposit,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-13,,,,"If destination account number does not associate with manager, System displays an error.",,,,,,0|i001lr:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit",,Fail,,,,,,,,To Do
"SM35 - Verify Edit Customer - If Customer Id is invalid, System displays an error.",BAN-209,10283,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 6:21 PM,24/Dec/22 6:27 PM,03/Jan/23 5:04 PM,,,0,EditCustomer,"If Customer Id is invalid, System displays an error.",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,You are not authorize to edit this customer!!,,,,,,,,,BAN-7,,,,"If Customer Id is invalid, System displays an error.",,,,,,0|i001lj:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Pass,,,,,,,,To Do
"DMF19- Verify Deposit - Invalid destination account number,",BAN-208,10282,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 6:18 PM,24/Dec/22 6:26 PM,03/Jan/23 5:04 PM,,,0,WithDrawal,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-12,,,,"If destination account number is invalid, system displays an error",,,,,,0|i001lb:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit

",,Fail,,,,,,,,To Do
"SM34 - Verify Edit Customer - If same Email Id exist in the system, system shows an error.",BAN-207,10281,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 6:17 PM,24/Dec/22 6:20 PM,03/Jan/23 5:04 PM,,,0,EditCustomer,"If same Email Id exist in the system, system shows an error.",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,Email Address Already Exist !!,,,,,,,,,BAN-7,,,,"If same Email Id exist in the system, system shows an error.",,,,,,0|i001l3:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Fail,,,,,,,,To Do
WCF18- Verify Withdrawal - source account does not associate with customer,BAN-206,10280,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 6:14 PM,24/Dec/22 6:46 PM,03/Jan/23 5:04 PM,,,0,WithDrawal,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-13,,,,"If source account does not associate with customer, System displays an error",,,,,,0|i001kj:,,ROOM Sprint 3,,,,,,,,,,"1) access to the function to be tested
2) submit

",,Fail,,,,,,,,To Do
"SM33 - Verify New Customer - If same Email Id exist in the system, system shows an error.",BAN-205,10279,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 6:10 PM,24/Dec/22 6:19 PM,03/Jan/23 5:04 PM,,,0,NewCustomer,"|Customer ID|35242|
|Customer Name|Tran Trang|
|Gender|male|
|Birthdate|2022-12-07|
|Address|sadsadadasd|
|City|TPHCM|
|State|in|
|Pin|001356|
|Mobile No.|099999999|
|Email|[tranthaivinh01@gmail.com|mailto:tranthaivinh01@gmail.com]|",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,Email Address Already Exist !!,,,,,,,,,BAN-6,,,,"If same Email Id exist in the system, system shows an error.",,,,,,0|i001kh:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Pass,,,,,,,,To Do
"WCF17- Verify Withdrawal - Invalid source account number error, the system displays an error",BAN-204,10278,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 6:04 PM,24/Dec/22 6:46 PM,03/Jan/23 5:04 PM,,,0,,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-13,,,,"If source account does not have the necessary balance, system displays an error",,,,,,0|i001kf:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit",,Fail,,,,,,,,To Do
"SM32 - Verify New Account - If Customer Id does not associate with manager, System displays an error.",BAN-203,10277,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 6:04 PM,24/Dec/22 6:06 PM,03/Jan/23 5:04 PM,,,0,NewAccount,"If Customer Id does not associate with manager, System displays an error.",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,You are not authorize to Add Account for this Customer,,,,,,,,,BAN-8,,,,"If Customer Id does not associate with manager, System displays an error",,,,,,0|i001k7:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Pass,,,,,,,,To Do
"WCF16- Verify Withdrawal - Invalid source account number error, the system displays an error",BAN-202,10276,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 6:01 PM,24/Dec/22 9:18 PM,03/Jan/23 5:04 PM,,,0,WithDrawal,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-13,,,,"If source account number is invalid, system displays an error",,,,,,0|i001jz:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit",,Fail,,,,,,,,To Do
"SM31 - Verify New Account - If initial deposit is less than 500, System displays an error.",BAN-201,10275,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 5:55 PM,24/Dec/22 5:59 PM,03/Jan/23 5:04 PM,,,0,NewAccount,"If initial deposit is less than 500, System displays an error.",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,initial deposit can't less than 500,,,,,,,,,BAN-8,,,,"If initial deposit is less than 500, System displays an error.",,,,,,0|i001jr:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Fail,,,,,,,,To Do
WMF 15- Verify Withdrawal - source account error not associated with manager,BAN-200,10274,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 5:48 PM,24/Dec/22 6:47 PM,03/Jan/23 5:04 PM,,,0,WithDrawal,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-13,,,,"If source account does not associate with manager, System displays an error",,,,,,0|i001jj:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit",,Fail,,,,,,,,To Do
"SM30 - Verify New Account - If Customer ID is invalid, system displays an error.",BAN-199,10273,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 5:46 PM,24/Dec/22 6:00 PM,03/Jan/23 5:04 PM,,,0,NewAccount,"If Customer ID is invalid, system displays an error.",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,Please fill all fields,,,,,,,,,BAN-8,,,,"If New Account is invalid, system displays an error.",,,,,,0|i001jb:,,ROOM Sprint 3,,,,,,,,Integratiom,,"1) Enter a character in the entry to check
2) submit",,Pass,,,,,,,,To Do
"WMF14- Verify Withdrawal - source account error does not have required balance,",BAN-198,10272,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 5:44 PM,24/Dec/22 6:05 PM,03/Jan/23 5:04 PM,,,0,WithDrawal,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-13,,,,"If source account does not have the necessary balance, system displays an error",,,,,,0|i001j3:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit",,Fail,,,,,,,,To Do
"SM29- Verify Edit Account - If Account number does not associate with manager, System displays an error.",BAN-197,10271,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 5:43 PM,24/Dec/22 6:00 PM,03/Jan/23 2:14 PM,,,0,EditAccount,,,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,"An error message ""Account numbers are not allowed""",,,,,,,,,BAN-9,,,,"If Account number does not associate with manager, System displays an error.",,,,,,0|i001ir:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Fail,,,,,,,,To Do
WMF13 - Verify Withdrawal  - Invalid source account number error,BAN-196,10270,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,24/Dec/22 5:42 PM,24/Dec/22 6:05 PM,03/Jan/23 5:04 PM,,,0,WithDrawal,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-13,,,,"If source account number is invalid, system displays an error",,,,,,0|i001iv:,,ROOM Sprint 3,,,,,,,,System,,"1) access to the function to be tested
2) submit",,Fail,,,,,,,,To Do
"SM28- Verify Edit Account - If Account Number is invalid, system displays an error.",BAN-195,10269,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 5:37 PM,24/Dec/22 5:42 PM,03/Jan/23 5:04 PM,,,0,EditAccount,,,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,"An error message ""Please fill all fields""",,,,,,,,,BAN-9,,,,"If Account Number is invalid, system displays an error.",,,,,,0|i001in:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) submit",,Pass,,,,,,,,To Do
"SM27- Verify Delete Account - If account does not associate with manager logged in, System displays an error.",BAN-194,10268,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 5:17 PM,24/Dec/22 5:27 PM,03/Jan/23 5:04 PM,,,0,DeleteAccount,,,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,System display an error,,,,,,,,,BAN-10,,,,"If account does not associate with manager logged in, System displays an error",,,,,,0|i001i3:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) Submit",,Pass,,,,,,,,To Do
"ST11-If the source account does not have the necessary balance, system displays an error",BAN-193,10267,,Bug,Open,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 5:15 PM,24/Dec/22 5:15 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,24/Dec/22 5:04 PM;ug:33baae09-8c95-4ad1-bf39-fadbcd26cff8;image-20221224-100634.png;https://tranthaivinh.atlassian.net/secure/attachment/10077/image-20221224-100634.png,,,please fills al fields,,,,,,,,,BAN-2,,,,system displays an error,,,,,,0|i001if:,,ROOM Sprint 3,,,,,,,,System,,"1: go to fund tranfer
2: over fill balance
3: waiting",,Fail,,,,,,,,To Do
"SM26 - Verify Delete Account - If Account Number is invalid, system displays an error",BAN-192,10266,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,24/Dec/22 4:59 PM,24/Dec/22 6:02 PM,03/Jan/23 5:04 PM,,,0,DeleteAccount,"If Account Number is invalid, system displays an error",,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,Please fill all fields,,,,,,,,,BAN-10,,,,"If Account Number is invalid, system displays an error",,,,,,0|i001i1:,,ROOM Sprint 3,,,,,,,,System,,"1) Enter a character in the entry to check
2) Submit",,Pass,,,,,,,,To Do
"SC12-If the source account is not associate with customer itself, System displays an error.",BAN-191,10265,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:11 PM,24/Dec/22 5:18 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,24/Dec/22 4:46 PM;ug:33baae09-8c95-4ad1-bf39-fadbcd26cff8;image-20221224-094839.png;https://tranthaivinh.atlassian.net/secure/attachment/10076/image-20221224-094839.png,,,please fills all fields,,,,,,,,,BAN-2,,,,System displays an error.,,,,,,0|i001hz:,,ROOM Sprint 3,,,,,,,,System,,,,Pass,,,,,,,,To Do
SC49-Verify Balance Enquiry- The account posted must be correct,BAN-190,10264,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,24/Dec/22 4:09 PM,24/Dec/22 8:23 PM,03/Jan/23 5:04 PM,,,0,BalanceEnquiry,"The account posted must be correct

Test Data

Account No* - Truong",,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,BAN-172,,,,"1) A pop-up ""Old password is incorrect"" is shown.
2) User redirect to Change Password is shown",,,,,,,,,BAN-1,,,,"1) A pop-up ""Old password is incorrect"" is shown.
2) User redirect to Change Password is shown",,,,,,0|i001hr:,,ROOM Sprint 3,,,,,,,,System,,"1) Click on Change Password
2) Enter required fields
3) Submit",,Pass,,,,,,,,To Do
"ST11-If the source account does not have the necessary balance, system displays an error",BAN-189,10263,,Bug,Open,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:09 PM,24/Dec/22 4:42 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,24/Dec/22 4:41 PM;ug:33baae09-8c95-4ad1-bf39-fadbcd26cff8;image-20221224-094350.png;https://tranthaivinh.atlassian.net/secure/attachment/10075/image-20221224-094350.png,,,please fills all fields,,,,,,,,,BAN-2,,,,system displays an error,,,,,,0|i001hj:,,ROOM Sprint 3,,,,,,,,System,,,,Fail,,,,,,,,To Do
"SC10-If these source and destination account numbers are same, system displays an error",BAN-188,10262,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:08 PM,24/Dec/22 5:18 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,24/Dec/22 4:34 PM;ug:33baae09-8c95-4ad1-bf39-fadbcd26cff8;image-20221224-093657.png;https://tranthaivinh.atlassian.net/secure/attachment/10074/image-20221224-093657.png,,,system operates normally,,,,,,,,,BAN-2,,,,system displays an error,,,,,,0|i001hb:,,ROOM Sprint 3,,,,,,,,System,,,,Fail,,,,,,,,To Do
"SC9-If the destination account number is not valid, system displays an error “Account  ### does not exist!!!”",BAN-187,10261,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:07 PM,24/Dec/22 5:17 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,No details found for this accounts !!!,,,,,,,,,BAN-2,,,,Account ### does not exist!!!”,,,,,,0|i001h3:,,ROOM Sprint 3,,,,,,,,System,,"step 1: go to fundtranfer and enter your id account
step 2: waiting",,Pass,,,,,,,,To Do
"SM8-If the source account does not associated with manager, System displays an error",BAN-186,10260,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:06 PM,24/Dec/22 5:17 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,,,,,,,,,,BAN-2,,,,,,,,,,0|i001gv:,,ROOM Sprint 3,,,,,,,,System,,,,,,,,,,,,To Do
"SM7-If the source account does not have the necessary balance, system displays an error",BAN-185,10259,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:06 PM,24/Dec/22 5:17 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,,,,,,,,,,BAN-2,,,,,,,,,,0|i001gn:,,ROOM Sprint 3,,,,,,,,System,,,,,,,,,,,,To Do
"SM6-If these source and destination account numbers are same, system displays an error",BAN-184,10258,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:05 PM,24/Dec/22 5:17 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,,,,,,,,,,BAN-2,,,,,,,,,,0|i001gf:,,ROOM Sprint 3,,,,,,,,System,,,,,,,,,,,,To Do
"SM5-If these source and destination account numbers are invalid, system displays an error “Account  ### does not exist!!!”",BAN-183,10257,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 4:04 PM,24/Dec/22 5:17 PM,03/Jan/23 5:04 PM,,,0,FundTransfer,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,,,,,,,,,,BAN-2,,,,,,,,,,0|i001g7:,,ROOM Sprint 3,,,,,,,,System,,,,,,,,,,,,To Do
SC4-Account number entered should exist in database,BAN-182,10256,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 3:59 PM,24/Dec/22 5:17 PM,03/Jan/23 5:04 PM,,,0,BalanceEnquiry,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,account has existed in database,,,,,,,,,BAN-1,,,,account exists in database,,,,,,0|i001fz:,,ROOM Sprint 3,,,,,,,,System,,"step 1: enter https://demo.guru99.com/V3/manager/addAccount.php
step2 : create account",,Pass,,,,,,,,To Do
SC3-Customer can view balance of only his accounts,BAN-181,10255,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 3:51 PM,24/Dec/22 5:17 PM,03/Jan/23 5:04 PM,,,0,BalanceEnquiry,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,can not view this page cause 404 error,,,,,,,,,BAN-1,,,,can view balance of his account,,,,,,0|i001fr:,,ROOM Sprint 3,,,,,,,,System,,"step 1: enter id account
step 2: submit and wait",,Fail,,,,,,,,To Do
SM2-Account number entered should exist in database,BAN-180,10254,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 3:45 PM,24/Dec/22 5:16 PM,03/Jan/23 5:04 PM,,,0,BalanceEnquiry,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,,,,,,,,,,BAN-1,,,,,,,,,,0|i001fj:,,ROOM Sprint 3,,,,,,,,System,,can view this page,,,,,,,,,,To Do
SM1-Manager can view balance of accounts associate with him,BAN-179,10253,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,24/Dec/22 3:28 PM,03/Jan/23 2:26 PM,03/Jan/23 5:04 PM,,,0,NewAccount,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,,,,,,,,,,,,,,BAN-1,,,,,,,,,,0|i001fb:,,ROOM Sprint 3,,,,,,,,Integratiom,,,,,,,,,,,,To Do
IP36 Verify Edit Customer - Check Edit Customeris Created,BAN-178,10252,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,17/Dec/22 4:58 PM,24/Dec/22 6:24 PM,03/Jan/23 5:04 PM,,,0,EditCustomer,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,,,,,,,,,,BAN-7,,,,"If Customer Id does not associate with Manager, System displays an error.",,,,,,0|i001f3:,,ROOM Sprint 2,,,,,,,,Integratiom,,"1) Enter a character in the entry to check
2)submit",,Fail,,,,,,,,To Do
IP35 Verify Edit Customer - Check Edit Customeris Created,BAN-177,10251,,Story,To Do,BAN,BankingProject,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,dat lu,638758499e48f2b9a615065e,dat lu,638758499e48f2b9a615065e,17/Dec/22 4:56 PM,24/Dec/22 8:31 PM,03/Jan/23 5:04 PM,,,0,EditCustomer,,,dat lu,638758499e48f2b9a615065e,,,,,,,,,,,,,,,,Characters are not allowed,,,,,,,,,BAN-7,,,,"If Customer Id is invalid, System displays an error.",,,,,,0|i001ev:,,ROOM Sprint 2,,,,,,,,Integratiom,,"1) Enter a character in the entry to check
2)submit",,Pass,,,,,,,,To Do
